browse,email,chat,audio_stream,video_stream,ft,voip,p2p,tor_browse,tor_email,tor_chat,tor_audio_stream,tor_video_stream,tor_ft,tor_voip,tor_p2p
0.97,0,0.02,0,0,0.01,0,0,0,0,0,0,0,0,0,0
0.01,0.98,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0
0.01,0,0.98,0,0,0,0,0.01,0,0,0,0,0,0,0,0
0,0,0,0.99,0,0,0,0,0,0,0.01,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0.99,0,0,0,0.01,0,0,0,0,0,0
0,0.01,0,0,0,0,0.97,0,0.01,0,0,0.01,0,0,0,0
0,0,0,0,0,0,0.01,0.98,0,0,0,0,0.01,0,0,0
0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0.01
0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0.01
0,0,0.01,0,0.01,0,0,0,0,0,0.97,0,0,0,0.01,0
0,0.01,0,0,0,0,0,0,0.01,0,0,0.98,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,0,0,0.01,0,0,0,0,0,0,0,0,0,0.99,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.98,0
0,0,0,0,0.01,0,0,0,0.01,0,0,0,0,0.01,0,0.97
