vpn_streaming,vpn_file_transfer,streaming,email,vpn_p2p,p2p,file_transfer,vpn_chat,voip,chat,vpn_voip,vpn_email
0.169008682,0.377670154,0.182181281,0.39620181,0.460950873,0.026849289,0.909764681,0.444879633,0.511108611,0.45284481,0.138482788,0.038581427
0.272404621,0.60059534,0.291218024,0.551443806,0.50418242,0.376849289,0.89203975,0.564585429,0.829606209,0.638733756,0.422901967,0.162207897
0.317976127,0.639853105,0.342796427,0.627346566,0.518167935,0.4737485,0.932523821,0.646455091,0.878636632,0.727739823,0.548917451,0.137911524
0.393145064,0.661977514,0.400279504,0.664390197,0.528934858,0.503111894,0.918634925,0.677725654,0.931884323,0.798704517,0.63300834,0.243452723
0.441346029,0.678818032,0.408657652,0.705308428,0.532019816,0.530182595,0.95305619,0.707610291,0.944778715,0.826344442,0.621622184,0.253559525
0.452549557,0.677160844,0.463032705,0.727030804,0.540284834,0.542187924,0.945916687,0.750281733,0.950112675,0.871948194,0.661226133,0.314318057
0.487994353,0.673197076,0.498580259,0.739275327,0.546271584,0.634171481,0.965914462,0.782716911,0.969671402,0.870809865,0.697539905,0.353605624
0.504012863,0.70473282,0.514133316,0.761950603,0.548384986,0.694276686,0.950631593,0.776094359,0.958674167,0.89373858,0.718173185,0.344425137
0.520102004,0.696843669,0.525668901,0.770281305,0.550653301,0.636691804,0.951608274,0.791981917,0.977885042,0.898305547,0.734993914,0.279598172
0.527032057,0.696650609,0.52697019,0.781323483,0.555546008,0.674559231,0.951608274,0.785729569,0.97221205,0.899400425,0.723876336,0.285371418
0.531655232,0.702083751,0.539598983,0.79474931,0.555718682,0.691243227,0.972093258,0.807328742,0.972431813,0.889294159,0.744411865,0.37576371
0.566003839,0.702214762,0.580222827,0.799304595,0.55896046,0.736224289,0.952081655,0.837352675,0.983632181,0.921275568,0.763008335,0.358600612
0.556489805,0.707783505,0.580248219,0.819607844,0.560325227,0.695354636,0.961730574,0.840847235,0.980658982,0.912653935,0.764842549,0.340528603
0.576456825,0.717200741,0.617457551,0.81808727,0.563940189,0.702128108,0.947748755,0.855953496,0.983673368,0.918393087,0.773606637,0.378075238
0.572996835,0.712026223,0.591198963,0.833233526,0.56340786,0.730329151,0.982375,0.858685654,0.978113626,0.939882886,0.766257086,0.457778032
0.579084078,0.715886161,0.579461378,0.838405242,0.564057134,0.740158613,0.962646459,0.867274027,0.989428554,0.941402685,0.772810975,0.264763649
0.560667137,0.724103197,0.596165162,0.83535408,0.564995311,0.722437496,0.966911946,0.865068596,0.992252861,0.936142695,0.786561647,0.367969568
0.574055831,0.726119384,0.62845282,0.833315363,0.569108091,0.718228574,0.987583313,0.871794801,0.980857168,0.931564104,0.780268589,0.455932315
