vpn_file_transfer,voip,streaming,vpn_voip,file_transfer,p2p,vpn_streaming,vpn_p2p
0,0.468874314,0,0.422714308,0.551217376,0.399945749,0.074000024,0
0,0.558844247,0.649222209,0.546156302,0.67394328,0.690994574,-0.041306115,0
0,0.637171307,0.589500024,0.60159494,0.825999974,0.65946628,0.145052635,0.513
0.594,0.674720803,0.626999988,0.547995404,0.857886134,0.79731418,0.224,0.263
0,0.688333133,0.644647076,0.639146522,0.898698388,0.863791658,0.196972989,0.513
0.594,0.665837684,0.696230783,0.660883859,0.874888896,0.832497252,0.224,0.513
0.594,0.737516919,0.696230783,0.698066429,0.888097881,0.807076467,0.224,0.513
0.594,0.768497625,0.770137264,0.632549003,0.8891142,0.900882138,0.224,0.263
0.594,0.79233841,0.809352948,0.663093284,0.927391945,0.914149953,0.224,0.058454562
0.594,0.747384468,0.740559294,0.634037033,0.934529422,0.910563363,0.224,0.513
0.594,0.745111742,0.789385333,0.684342459,0.945107816,0.884622945,0.224,0.263
0.594,0.746667126,0.782855882,0.739264921,0.918624102,0.881632103,0.224,0.513
0.594,0.751760462,0.806120886,0.80685015,0.942692934,0.926916016,0.224,0.513
0.594,0.776073018,0.786649122,0.797584906,0.913083313,0.88040383,0.224,0.513
0.594,0.78154538,0.773846819,0.808789388,0.91557747,0.848532094,0.224,0.513
0.594,0.771322468,0.818891897,0.779541746,0.953032969,0.842843784,0.196972989,0.370142866
0.594,0.797179261,0.759000017,0.762053743,0.963777779,0.916234089,0.224,0.513
0.594,0.821540275,0.804192974,0.756973937,0.91557747,0.912552847,0.224,0.513
0.594,0.76430271,0.844431176,0.799437776,0.920256077,0.915033473,0.224,0.513
0.594,0.799033025,0.844431176,0.821693316,0.926972209,0.86079712,0.224,0.513
0.594,0.830135563,0.845918908,0.783873573,0.926140843,0.89940132,0.224,0.513
0.594,0.812814393,0.876494958,0.817823008,0.911423741,0.885379268,0.224,0.513
0.594,0.828245082,0.798794879,0.773592249,0.917972802,0.935959412,0.224,0.513
0.594,0.820038596,0.821736826,0.793221429,0.942834555,0.847399069,0.224,0.513
0.344,0.831447401,0.761645689,0.716960922,0.957830964,0.934220446,0.224,0.513
0.594,0.818467,0.771262302,0.786762372,0.946992932,0.841443731,0.224,0.513
0.594,0.791799763,0.814850463,0.821676746,0.939736663,0.923523737,0.224,0.513
0.594,0.849781969,0.829654886,0.774502412,0.967273413,0.890780581,0.224,0.513
0.594,0.82412956,0.779459013,0.804113344,0.956802903,0.890105916,0.224,0.513
0.594,0.850952008,0.863936915,0.818019822,0.929859637,0.901700152,0.224,0.513
0.594,0.818670907,0.871444418,0.797037557,0.950157701,0.889764203,0.224,0.513
0.594,0.844298699,0.727000012,0.791608408,0.878857134,0.931157483,0.224,0.513
0.594,0.864995876,0.85620351,0.832339123,0.950285731,0.888868882,0.224,0.513
0.594,0.891756573,0.799881353,0.822283581,0.896299003,0.9323308,0.224,0.513
0.594,0.844409147,0.725507452,0.835554257,0.940861104,0.907231463,0.224,0.513
0.594,0.825798371,0.898698105,0.802626923,0.960545479,0.88639958,0.224,0.513
0.344,0.837406555,0.834563031,0.827249244,0.940703808,0.937393381,0.149000012,0.513
0.594,0.844958284,0.870925261,0.797205463,0.940063594,0.920121206,0.224,0.513
0.594,0.819985369,0.745897665,0.801913932,0.934453605,0.870006157,0.224,0.513
0.594,0.8675733,0.85292591,0.842613772,0.923716246,0.93296857,0.224,0.513
0.594,0.839144566,0.8645,0.777151361,0.943295358,0.905341579,0.224,0.263
0.594,0.877958634,0.796918704,0.853,0.960637687,0.874981595,0.224,0.513
0.594,0.82668809,0.818666651,0.782974497,0.93373519,0.927270903,0.172717952,0.513
0.594,0.866996327,0.780658557,0.811851338,0.943746506,0.915965094,0.224,0.513
0.594,0.432484695,0.593666687,0.36114879,0.693964599,0.519091441,0.224,0.513
0.594,0.501077691,0.677,0.518589869,0.909913062,0.768366827,0.224,0.513
0.594,0.67112247,0.771444454,0.589489654,0.827726601,0.698758973,0.224,0.513
0.594,0.679346838,0.703470602,0.5760528,0.913419364,0.721791459,0.224,0.513
0.594,0.680609622,0.672098054,0.60021849,0.851942001,0.834676994,0.224,0.513
0.594,0.730676988,0.672762706,0.673844889,0.830936728,0.832003189,0.224,0.513
0.594,0.758635261,0.845604672,0.659607426,0.911531924,0.832003189,0.224,0.513
0.594,0.727709988,0.777467265,0.668261603,0.918624102,0.818794145,0.224,0.513
0.594,0.788396457,0.805787875,0.72161676,0.919333337,0.828727199,0.224,0.513
0.594,0.801841119,0.778851881,0.73373206,0.933183073,0.862862243,0.224,0.513
0.594,0.767632523,0.804358496,0.706691638,0.802816807,0.788679315,0.224,0.513
0.594,0.73825095,0.803190484,0.747895435,0.935275374,0.871728135,0.224,0.513
0.594,0.787951866,0.907000019,0.7226841,0.885328887,0.885397388,0.224,0.513
0.594,0.79670898,0.879380955,0.791557148,0.927580772,0.822697534,0.224,0.513
0.594,0.838983097,0.807341887,0.774952248,0.978565036,0.859495832,0.224,0.513
0.022571433,0.815120557,0.805260851,0.784614042,0.978647052,0.905866815,0.197684192,0.513
0.594,0.755333999,0.844431176,0.760680154,0.956588207,0.904807521,0.224,0.513
0.594,0.797179261,0.814931049,0.753038064,0.88368976,0.919477953,0.224,0.513
0.594,0.782621959,0.832172408,0.814082816,0.964339374,0.918366803,0.224,0.513
0.594,0.839119115,0.881545438,0.734202281,0.947672485,0.904264225,0.224,0.513
0.594,0.857124188,0.84152992,0.781711892,0.931392489,0.837280644,0.224,0.513
0.594,0.86458514,0.813178851,0.805866495,0.968014418,0.840459837,0.224,0.513
0.594,0.863548317,0.842254235,0.762859121,0.882103919,0.881065203,0.224,0.513
0.594,0.846480349,0.858034505,0.818893031,0.957631229,0.871981276,0.224,0.513
0.594,0.855278709,0.880703701,0.78420879,0.947267591,0.933584227,0.224,0.513
0.594,0.883808175,0.736859157,0.798838034,0.954197882,0.878523065,0.224,0.513
0.594,0.833909967,0.834563031,0.811427668,0.950028776,0.886734141,0.224,0.513
0.594,0.806248048,0.872945919,0.812670306,0.93687719,0.934468521,0.224,0.513
0.594,0.798050919,0.7941875,0.77182658,0.93704897,0.933584227,0.224,0.513
0.594,0.856816807,0.855571403,0.763671711,0.971454559,0.889528645,0.172717952,0.513
0.594,0.862293938,0.844355359,0.787954107,0.896596013,0.891753925,0.172717952,0.513
0.594,0.877566793,0.827826454,0.783333972,0.919110356,0.938063814,0.224,0.513
0.594,0.850952008,0.888904764,0.801219955,0.97853732,0.844814671,0.224,0.513
0.594,0.86995832,0.835333361,0.7961687,0.960545479,0.848066045,0.224,0.513
0.594,0.868732968,0.802968993,0.811741904,0.978619932,0.878523065,0.224,0.513
0.594,0.859479227,0.824637784,0.798838034,0.971454559,0.895786179,0.224,0.513
0.594,0.863963464,0.909300878,0.786983565,0.960820137,0.917733921,0.224,0.513
0.594,0.882078805,0.815000011,0.811427668,0.923931061,0.851825489,0.224,0.513
0.594,0.864305237,0.83176191,0.827688888,0.921153604,0.934324278,0.224,0.513
0.594,0.883926907,0.845699205,0.75645937,0.968014418,0.934894039,0.224,0.263
0.594,0.888071099,0.909142866,0.773689404,0.924566566,0.935171796,0.224,0.513
0.594,0.860540965,0.826999976,0.762998417,0.951034962,0.964,0.224,0.513
0.594,0.872963169,0.823000028,0.802256957,0.946854113,0.915735258,0.224,0.513
0.594,0.879985371,0.819561972,0.764251545,0.874535023,0.918984128,0.224,0.513
0.594,0.895365813,0.852619841,0.813875631,0.915292917,0.908366813,0.224,0.513
0.594,0.890987912,0.830999984,0.763671711,0.874888896,0.874616815,0.224,0.513
0.594,0.843305328,0.891285731,0.795808092,0.941326438,0.926525785,0.224,0.513
0.594,0.872455099,0.869148745,0.743517414,0.896596013,0.934178783,0.224,0.513
0.594,0.889802018,0.725611104,0.7633266,0.841384588,0.926172747,0.224,0.513
0.594,0.878603259,0.797229006,0.80470039,0.958125411,0.896366788,0.224,0.513
0.594,0.877825895,0.860884323,0.805370525,0.916000007,0.947180404,0.224,0.513
0.594,0.874161878,0.812496199,0.813457921,0.934805451,0.888685538,0.224,0.513
0.594,0.854104617,0.8410625,0.79507865,0.953971504,0.934753372,0.224,0.513
0.594,0.875223496,0.860884323,0.788733796,0.908033906,0.875343574,0.224,0.513
0.594,0.897107461,0.822161271,0.833534435,0.934275864,0.865705205,0.224,0.513
0.594,0.877763191,0.839,0.795444742,0.937388896,0.904621793,0.224,0.513
0.594,0.875223496,0.845032765,0.783333972,0.951034962,0.8452325,0.224,0.513
0.594,0.887250343,0.877413227,0.817065433,0.964339374,0.907882942,0.224,0.513
0.594,0.860840121,0.853829278,0.794709817,0.934275864,0.923468841,0.224,0.513
0.594,0.89013032,0.839,0.798125997,0.894196747,0.919387235,0.224,0.513
0.594,0.857143977,0.838290348,0.792822972,0.957929848,0.88931544,0.224,0.513
0.594,0.872320154,0.868666663,0.75549908,0.94117242,0.926525785,0.224,0.513
0.594,0.878475168,0.812245919,0.794709817,0.943894742,0.888685538,0.224,0.513
0.594,0.88210527,0.893386557,0.785016313,0.906529783,0.885362877,0.224,0.513
0.594,0.882200458,0.814218058,0.793586329,0.937724112,0.943470551,0.224,0.513
0.594,0.891318002,0.86299999,0.794338122,0.934096871,0.900093748,0.224,0.513
0.594,0.880354026,0.853229537,0.792822972,0.944477497,0.947269751,0.224,0.513
0.594,0.857916811,0.858623936,0.805036739,0.951156794,0.918780042,0.224,0.513
0.594,0.869712868,0.820442631,0.813277558,0.921593247,0.881752623,0.224,0.513
0.594,0.89647285,0.88426496,0.795444742,0.91576588,0.907142354,0.224,0.513
0.594,0.887023607,0.827763333,0.767822996,0.944620667,0.927044524,0.224,0.513
0.594,0.888520041,0.892517223,0.773257807,0.937724112,0.878523065,0.224,0.513
0.594,0.905309716,0.878219499,0.806356803,0.944620667,0.886335565,0.224,0.513
0.594,0.894037703,0.876999988,0.77968432,0.922454833,0.904621793,0.224,0.513
0.594,0.845980683,0.876999988,0.805701807,0.961000024,0.907882942,0.172717952,0.513
0.594,0.889470497,0.83176191,0.806030527,0.912666677,0.903850688,0.224,0.513
0.594,0.898160496,0.818472876,0.782932893,0.941017328,0.934894039,0.224,0.513
0.594,0.877066949,0.828639342,0.792822972,0.94117242,0.934753372,0.172717952,0.513
0.594,0.882803061,0.800015881,0.843642667,0.964723407,0.911915196,0.172717952,0.513
0.594,0.898455122,0.798212125,0.777299538,0.944333313,0.919387235,0.172717952,0.513
0.594,0.891312578,0.868666663,0.807551697,0.944333313,0.889935447,0.224,0.513
0.594,0.888520041,0.83176191,0.808207587,0.946992932,0.927214576,0.224,0.513
0.594,0.884397963,0.859773113,0.7902589,0.944188176,0.908842994,0.224,0.513
0.594,0.884829619,0.823000028,0.75345017,0.924566566,0.900906516,0.224,0.513
0.594,0.899332443,0.861426248,0.798125997,0.954421042,0.897220565,0.224,0.513
0.594,0.87744824,0.83176191,0.766011372,0.975169657,0.886013879,0.224,0.513
0.594,0.904518583,0.818472876,0.783732072,0.951753436,0.927383198,0.224,0.513
0.594,0.871959725,0.858034505,0.76143612,0.885022818,0.885033502,0.224,0.513
0.594,0.890879014,0.893386557,0.786983565,0.944333313,0.912141932,0.224,0.513
0.594,0.89034746,0.862483873,0.78950198,0.964873253,0.919387235,0.224,0.513
0.594,0.892189422,0.802968993,0.819463924,0.944477497,0.899818434,0.224,0.513
0.594,0.898746767,0.846354856,0.775606886,0.931945919,0.896366788,0.224,0.513
0.594,0.885763147,0.718946292,0.809172824,0.968014418,0.844771339,0.224,0.513
0.594,0.900480011,0.834692313,0.807880894,0.944620667,0.905125691,0.224,0.513
0.594,0.859603682,0.8098125,0.800868944,0.964339374,0.951272799,0.224,0.513
0.594,0.892933348,0.750943675,0.814391628,0.937219499,0.889935447,0.224,0.513
0.594,0.902207592,0.818472876,0.793206111,0.964647709,0.876412763,0.224,0.513
0.594,0.878898838,0.839698388,0.813277558,0.97150725,0.904109789,0.224,0.513
0.594,0.873769501,0.847000017,0.799539402,0.957530259,0.899818434,0.224,0.513
0.594,0.895162859,0.845699205,0.795444742,0.944620667,0.911456241,0.224,0.513
0.594,0.88304142,0.869148745,0.798483387,0.954641102,0.874981595,0.224,0.513
0.594,0.899035612,0.818472876,0.812670306,0.958222209,0.903850688,0.224,0.513
0.594,0.888797679,0.876152529,0.826931551,0.971559583,0.911686672,0.224,0.513
0.594,0.89750258,0.803923084,0.813875631,0.944904088,0.900906516,0.224,0.513
0.594,0.895570019,0.83176191,0.778127626,0.947937726,0.88900174,0.224,0.513
0.594,0.892616609,0.901358976,0.812670306,0.916232584,0.900366796,0.224,0.513
0.594,0.885878184,0.861426248,0.792451278,0.954421042,0.905125691,0.224,0.513
0.594,0.871148982,0.814218058,0.815899924,0.971347986,0.916366829,0.224,0.513
0.594,0.896301368,0.861959352,0.812363222,0.965020953,0.890545799,0.197684192,0.513
0.594,0.883630672,0.833976759,0.791699425,0.957428573,0.926873042,0.224,0.513
0.594,0.867138186,0.781961812,0.786983565,0.971454559,0.915947451,0.224,0.513
0.594,0.88327823,0.801074101,0.807880894,0.947672485,0.907882942,0.224,0.513
0.594,0.910063007,0.757985904,0.817125812,0.928760944,0.881752623,0.224,0.513
0.594,0.900759914,0.767579689,0.800911203,0.961524485,0.904109789,0.224,0.513
0.594,0.862084189,0.845032765,0.793963686,0.957530259,0.867591633,0.224,0.513
0.594,0.89760057,0.815888896,0.802256957,0.951277791,0.882763697,0.224,0.513
0.594,0.891312578,0.875717952,0.826931551,0.947937726,0.88931544,0.224,0.513
0.594,0.895974555,0.861426248,0.770959214,0.9717651,0.926525785,0.224,0.513
0.594,0.898259023,0.892517223,0.799539402,0.964723407,0.919387235,0.224,0.513
0.594,0.903841594,0.853229537,0.805701807,0.944904088,0.935308947,0.224,0.513
0.594,0.897404292,0.798212125,0.796882048,0.913152336,0.904621793,0.224,0.513
0.594,0.899131277,0.873902633,0.786983565,0.954421042,0.904109789,0.224,0.513
0.594,0.900480011,0.874826087,0.799539402,0.964571415,0.885689629,0.224,0.513
0.594,0.895974555,0.877413227,0.798838034,0.947937726,0.87221296,0.224,0.513
0.594,0.893142798,0.893386557,0.792451278,0.964339374,0.926873042,0.224,0.513
0.594,0.879861751,0.908481493,0.786205366,0.951034962,0.919387235,0.224,0.513
0.594,0.881085852,0.868666663,0.780504182,0.964723407,0.911456241,0.224,0.513
0.594,0.891740659,0.876999988,0.805036739,0.951277791,0.892969979,0.224,0.513
0.594,0.898357251,0.876579835,0.785415605,0.957929848,0.88900174,0.224,0.513
0.594,0.877634981,0.909456148,0.785415605,0.951034962,0.910989775,0.224,0.513
0.594,0.889691868,0.763879432,0.792451278,0.978805779,0.900093748,0.224,0.513
0.594,0.88553206,0.876579835,0.789119318,0.957530259,0.931022419,0.224,0.513
0.594,0.874821105,0.893386557,0.773257807,0.964260875,0.904109789,0.224,0.513
0.594,0.888742307,0.84825982,0.800515309,0.957631229,0.935171796,0.224,0.513
0.594,0.888963201,0.876579835,0.821676746,0.958027957,0.878872646,0.224,0.513
0.594,0.891756573,0.86299999,0.802256957,0.958027957,0.88900174,0.224,0.513
0.594,0.887699464,0.861426248,0.788733796,0.951517223,0.897220565,0.224,0.513
0.594,0.895162859,0.861426248,0.769186631,0.964647709,0.911686672,0.224,0.513
0.594,0.885436156,0.83325,0.807219878,0.951034962,0.911686672,0.224,0.513
0.594,0.894554117,0.876152529,0.793558315,0.951517223,0.911686672,0.224,0.513
0.594,0.881572702,0.787294104,0.782974497,0.964494644,0.934753372,0.224,0.513
0.594,0.875873425,0.851369752,0.784614042,0.964873253,0.903850688,0.224,0.513
0.594,0.892828086,0.869148745,0.798125997,0.97872728,0.88931544,0.224,0.513
0.594,0.891096511,0.861959352,0.785415605,0.954531489,0.904366805,0.224,0.513
0.594,0.895468095,0.804862573,0.805036739,0.958027957,0.88931544,0.224,0.513
0.594,0.88416318,0.854999973,0.806885496,0.971611498,0.88900174,0.224,0.513
0.594,0.881085852,0.862483873,0.795444742,0.937388896,0.861902965,0.224,0.513
0.594,0.87338815,0.860884323,0.778008178,0.924775539,0.918574287,0.224,0.513
0.594,0.87988154,0.816763772,0.766923741,0.964947341,0.935171796,0.224,0.513
0.594,0.897206703,0.877413227,0.777581349,0.944620667,0.896077646,0.224,0.513
0.594,0.899698654,0.859773113,0.785415605,0.958222209,0.904366805,0.224,0.513
0.594,0.876258471,0.832511796,0.791699425,0.951277791,0.911686672,0.224,0.513
0.594,0.894141653,0.859773113,0.760680154,0.931392489,0.904109789,0.224,0.513
0.594,0.899226585,0.744518234,0.75452514,0.945183693,0.951630427,0.224,0.513
0.594,0.903127411,0.876579835,0.785415605,0.944620667,0.86874993,0.224,0.513
0.594,0.887844482,0.812496199,0.788345412,0.950538991,0.874981595,0.224,0.513
0.594,0.890021244,0.861426248,0.792076722,0.971815585,0.896077646,0.224,0.513
0.594,0.898746767,0.860333337,0.79919006,0.944904088,0.897778584,0.224,0.513
0.594,0.888852933,0.861426248,0.784614042,0.937724112,0.88209231,0.224,0.513
0.594,0.895671645,0.909905984,0.791319266,0.957631229,0.904109789,0.224,0.513
0.594,0.904783049,0.769857122,0.807880894,0.958027957,0.919387235,0.224,0.513
0.594,0.88622103,0.844355359,0.813277558,0.924356161,0.904366805,0.224,0.513
0.594,0.897763172,0.891601755,0.791319266,0.958027957,0.889626635,0.224,0.513
0.594,0.892163196,0.862483873,0.798838034,0.964339374,0.869130148,0.224,0.513
0.594,0.87496064,0.876999988,0.802597419,0.964417277,0.890545799,0.224,0.513
0.594,0.895671645,0.86299999,0.798838034,0.971815585,0.86874993,0.224,0.513
0.594,0.891952553,0.818472876,0.811741904,0.93120545,0.927383198,0.224,0.513
0.594,0.892372408,0.847000017,0.790936187,0.964723407,0.915305568,0.224,0.513
0.594,0.899131277,0.861959352,0.812053755,0.978857158,0.896653665,0.224,0.513
0.594,0.891312578,0.861959352,0.805701807,0.951277791,0.919783844,0.224,0.513
0.594,0.895468095,0.893101706,0.808531836,0.964723407,0.875343574,0.224,0.513
0.594,0.882803061,0.856133832,0.821676746,0.951277791,0.908125831,0.224,0.513
0.594,0.868839601,0.819307699,0.821109846,0.97150725,0.890545799,0.224,0.513
0.594,0.893350938,0.862483873,0.802256957,0.912666677,0.904621793,0.224,0.513
0.594,0.908421078,0.876579835,0.798125997,0.965020953,0.904366805,0.224,0.513
0.594,0.901037076,0.820129766,0.77149947,0.964723407,0.927550508,0.224,0.513
0.594,0.911096492,0.847634925,0.791319266,0.971663056,0.919783844,0.224,0.513
0.594,0.880343833,0.798212125,0.77149947,0.978753625,0.874981595,0.224,0.513
0.594,0.897795597,0.861959352,0.792822972,0.964723407,0.943470551,0.224,0.513
0.594,0.872320154,0.876579835,0.81917961,0.950912295,0.874981595,0.224,0.513
